信号源1Hz 50%占空比方波上升沿触发TrigerBox发送，NanoEEG的cc1310上升沿捕获Ttor，cc3235s下降沿捕获Ttoc,,,,,,,,,,,,,
序号,Ttor,Tror,Tsor,Tsoc,Troc,Ttoc,,,Tror-Ttor,对应ms数,Troc-Ttoc,对应ms数,减去上下边沿间隔500ms
1,1477293002,1477365353,1473734165,10800001,10890780,10838972,,,72351,18.08775,51808,518.08,18.08
2,1481292994,1481365291,1477734188,10900001,10990778,10938971,,,72297,18.07425,51807,518.07,18.07
3,1485292987,1485365438,1481734219,11000001,11090781,11038971,,,72451,18.11275,51810,518.1,18.1
4,1489292980,1489365449,1485734230,11100001,11190781,11138970,,,72469,18.11725,51811,518.11,18.11
5,1493292973,1493365257,1489734241,11200001,11290776,11238969,,,72284,18.071,51807,518.07,18.07
6,1497292965,1497365404,1493734255,11300001,11390779,11338969,,,72439,18.10975,51810,518.1,18.1
7,1501292958,1501365279,1497734263,11400001,11490776,11438968,,,72321,18.08025,51808,518.08,18.08
8,1505292951,1505365426,1501734276,11500001,11590779,11538968,,,72475,18.11875,51811,518.11,18.11
9,1509292943,1509365234,1505734291,11600001,11690774,11638967,,,72291,18.07275,51807,518.07,18.07
10,1513292936,1513365245,1509734306,11700001,11790774,11738967,,,72309,18.07725,51807,518.07,18.07
11,1517292929,1517365392,1513734325,11800001,11890777,11838966,,,72463,18.11575,51811,518.11,18.11
12,1521292922,1521365200,1517734336,11900001,11990772,11938966,,,72278,18.0695,51806,518.06,18.06
13,1525292914,1525365211,1521734349,12000001,12090772,12038965,,,72297,18.07425,51807,518.07,18.07
14,1529292907,1529365358,1525734364,12100001,12190775,12138965,,,72451,18.11275,51810,518.1,18.1
15,1533292900,1533365165,1529734379,12200001,12290770,12238964,,,72265,18.06625,51806,518.06,18.06
16,1537292892,1537365176,1533734393,12300001,12390770,12338963,,,72284,18.071,51807,518.07,18.07
17,1541292885,1541365187,1537734408,12400001,12490770,12438963,,,72302,18.0755,51807,518.07,18.07
