空中延时测试：信号源10Hz方波,,,,,,,,,
序号,接收时间戳Tror,信号触发时间戳Ttor,空中延时,,Tror间隔,Ttor间隔,,,
1,127397521,127325166,72355,,,,,,
2,127797517,127725166,72351,,399996,400000,,Tror间隔最大值,400064
3,128197513,128125166,72347,,399996,400000,,Tror间隔最小值,399961
4,128597576,128525165,72411,,400063,399999,,差值对应us数,25.75
5,128997538,128925165,72373,,399962,400000,,Ttor间隔最大值,400000
6,129397534,129325165,72369,,399996,400000,,Ttor间隔最小值,399999
7,129797529,129725164,72365,,399995,399999,,差值对应us数,0.25
8,130197525,130125164,72361,,399996,400000,,,
9,130597521,130525164,72357,,399996,400000,,空中延时最大值,72423
10,130997516,130925163,72353,,399995,399999,,空中延时最小值,72339
11,131397580,131325163,72417,,400064,400000,,差值对应us数,21
12,131797542,131725163,72379,,399962,400000,,,
13,132197537,132125162,72375,,399995,399999,,,
14,132597533,132525162,72371,,399996,400000,,结论：在100ms事件触发时，从事件发生时点到NanoEEG cc1310接收到事件标签的延时抖动在21us内,
15,132997529,132925162,72367,,399996,400000,,,
16,133397524,133325161,72363,,399995,399999,,,
17,133797520,133725161,72359,,399996,400000,,,
18,134197516,134125161,72355,,399996,400000,,,
19,134597511,134525160,72351,,399995,399999,,,
20,134997575,134925160,72415,,400064,400000,,,
21,135397537,135325159,72378,,399962,399999,,,
22,135797532,135725159,72373,,399995,400000,,,
23,136197528,136125159,72369,,399996,400000,,,
24,136597524,136525158,72366,,399996,399999,,,
25,136997519,136925158,72361,,399995,400000,,,
26,137397515,137325158,72357,,399996,400000,,,
27,137797579,137725157,72422,,400064,399999,,,
28,138197540,138125157,72383,,399961,400000,,,
29,138597536,138525157,72379,,399996,400000,,,
30,138997532,138925156,72376,,399996,399999,,,
31,139397527,139325156,72371,,399995,400000,,,
32,139797523,139725156,72367,,399996,400000,,,
33,140197519,140125155,72364,,399996,399999,,,
34,140597514,140525155,72359,,399995,400000,,,
35,140997510,140925155,72355,,399996,400000,,,
36,141397506,141325154,72352,,399996,399999,,,
37,141797569,141725154,72415,,400063,400000,,,
38,142197531,142125154,72377,,399962,400000,,,
39,142597527,142525153,72374,,399996,399999,,,
40,142997522,142925153,72369,,399995,400000,,,
41,143397518,143325153,72365,,399996,400000,,,
42,143797514,143725152,72362,,399996,399999,,,
43,144197509,144125152,72357,,399995,400000,,,
44,144597505,144525152,72353,,399996,400000,,,
45,144997501,144925151,72350,,399996,399999,,,
46,145397496,145325151,72345,,399995,400000,,,
47,145797560,145725151,72409,,400064,400000,,,
48,146197522,146125150,72372,,399962,399999,,,
49,146597517,146525150,72367,,399995,400000,,,
50,146997513,146925150,72363,,399996,400000,,,
51,147397509,147325149,72360,,399996,399999,,,
52,147797504,147725149,72355,,399995,400000,,,
53,148197568,148125149,72419,,400064,400000,,,
54,148597530,148525148,72382,,399962,399999,,,
55,148997525,148925148,72377,,399995,400000,,,
56,149397521,149325148,72373,,399996,400000,,,
57,149797517,149725147,72370,,399996,399999,,,
58,150197512,150125147,72365,,399995,400000,,,
59,150597508,150525147,72361,,399996,400000,,,
60,150997504,150925146,72358,,399996,399999,,,
61,151397499,151325146,72353,,399995,400000,,,
62,151797495,151725145,72350,,399996,399999,,,
63,152197491,152125145,72346,,399996,400000,,,
64,152597554,152525145,72409,,400063,400000,,,
65,152997516,152925144,72372,,399962,399999,,,
66,153397512,153325144,72368,,399996,400000,,,
67,153797507,153725144,72363,,399995,400000,,,
68,154197503,154125143,72360,,399996,399999,,,
69,154597499,154525143,72356,,399996,400000,,,
70,154997494,154925143,72351,,399995,400000,,,
71,155397490,155325142,72348,,399996,399999,,,
72,155797554,155725142,72412,,400064,400000,,,
73,156197515,156125142,72373,,399961,400000,,,
