空中延时测试：信号源1Hz方波,,,,,,,,,,
序号,接收时间戳Tror,信号触发时间戳Ttor,空中延时,,,Tror间隔,Ttor间隔,,,
1,108504323,108431869,72454,,,,,,,
2,112504199,112431866,72333,,,3999876,3999997,,,
3,116504142,116431862,72280,,,3999943,3999996,,,
4,120504153,120431859,72294,,,4000011,3999997,,Tror间隔最大值,4000148
5,124504165,124431855,72310,,,4000012,3999996,,Tror间隔最小值,3999807
6,128504176,128431852,72324,,,4000011,3999997,,差值对应us数,85.25
7,132504119,132431848,72271,,,3999943,3999996,,Ttor间隔最大值,3999997
8,136504130,136431845,72285,,,4000011,3999997,,Ttor间隔最小值,3999996
9,140504141,140431841,72300,,,4000011,3999996,,差值对应us数,0.25
10,144504153,144431838,72315,,,4000012,3999997,,,
11,148504300,148431835,72465,,,4000147,3999997,,空中延时最大值,72466
12,152504107,152431831,72276,,,3999807,3999996,,空中延时最小值,72258
13,156504118,156431828,72290,,,4000011,3999997,,差值对应us数,52
14,160504130,160431824,72306,,,4000012,3999996,,,
15,164504141,164431821,72320,,,4000011,3999997,,,
16,168504152,168431817,72335,,,4000011,3999996,,,
17,172504096,172431814,72282,,,3999944,3999997,,,
18,176504107,176431810,72297,,,4000011,3999996,,,
19,180504118,180431807,72311,,,4000011,3999997,,,
20,184504129,184431804,72325,,,4000011,3999997,,,
21,188504072,188431800,72272,,,3999943,3999996,,,
22,192504083,192431797,72286,,,4000011,3999997,,,
23,196504095,196431793,72302,,,4000012,3999996,,,
24,200504106,200431790,72316,,,4000011,3999997,,,
25,204504049,204431786,72263,,,3999943,3999996,,,
26,208504060,208431783,72277,,,4000011,3999997,,,
27,212504072,212431780,72292,,,4000012,3999997,,,
28,216504083,216431776,72307,,,4000011,3999996,,,
29,220504094,220431773,72321,,,4000011,3999997,,,
30,224504038,224431769,72269,,,3999944,3999996,,,
31,228504049,228431766,72283,,,4000011,3999997,,,
32,232504060,232431762,72298,,,4000011,3999996,,,
33,236504071,236431759,72312,,,4000011,3999997,,,
34,240504015,240431756,72259,,,3999944,3999997,,,
35,244504026,244431752,72274,,,4000011,3999996,,,
36,248504037,248431749,72288,,,4000011,3999997,,,
37,252504048,252431745,72303,,,4000011,3999996,,,
38,256504060,256431742,72318,,,4000012,3999997,,,
39,260504071,260431739,72332,,,4000011,3999997,,,
40,264504014,264431735,72279,,,3999943,3999996,,,
41,268504025,268431732,72293,,,4000011,3999997,,,
42,272504037,272431728,72309,,,4000012,3999996,,,
43,276504048,276431725,72323,,,4000011,3999997,,,
44,280503991,280431721,72270,,,3999943,3999996,,,
45,284504003,284431718,72285,,,4000012,3999997,,,
46,288504014,288431715,72299,,,4000011,3999997,,,
47,292504025,292431711,72314,,,4000011,3999996,,,
48,296503968,296431708,72260,,,3999943,3999997,,,
49,300503979,300431704,72275,,,4000011,3999996,,,
50,304503990,304431701,72289,,,4000011,3999997,,,
51,308504002,308431698,72304,,,4000012,3999997,,,
52,312504013,312431694,72319,,,4000011,3999996,,,
53,316503956,316431691,72265,,,3999943,3999997,,,
54,320503967,320431687,72280,,,4000011,3999996,,,
55,324503978,324431684,72294,,,4000011,3999997,,,
56,328503989,328431681,72308,,,4000011,3999997,,,
57,332504001,332431677,72324,,,4000012,3999996,,,
58,336503944,336431674,72270,,,3999943,3999997,,,
59,340504023,340431670,72353,,,4000079,3999996,,,
60,344503966,344431667,72299,,,3999943,3999997,,,
61,348503978,348431664,72314,,,4000012,3999997,,,
62,352503989,352431660,72329,,,4000011,3999996,,,
63,356503932,356431657,72275,,,3999943,3999997,,,
64,360503944,360431654,72290,,,4000012,3999997,,,
65,364503955,364431650,72305,,,4000011,3999996,,,
66,368503966,368431647,72319,,,4000011,3999997,,,
67,372503909,372431643,72266,,,3999943,3999996,,,
68,376503988,376431640,72348,,,4000079,3999997,,,
69,380503931,380431637,72294,,,3999943,3999997,,,
70,384503943,384431633,72310,,,4000012,3999996,,,
71,388504090,388431630,72460,,,4000147,3999997,,,
72,392503965,392431626,72339,,,3999875,3999996,,,
73,396503908,396431623,72285,,,3999943,3999997,,,
74,400503920,400431620,72300,,,4000012,3999997,,,
75,404503931,404431616,72315,,,4000011,3999996,,,
76,408503874,408431613,72261,,,3999943,3999997,,,
77,412503954,412431610,72344,,,4000080,3999997,,,
78,416503897,416431606,72291,,,3999943,3999996,,,
79,420503908,420431603,72305,,,4000011,3999997,,,
80,424503920,424431599,72321,,,4000012,3999996,,,
81,428503863,428431596,72267,,,3999943,3999997,,,
82,432503874,432431593,72281,,,4000011,3999997,,,
83,436503885,436431589,72296,,,4000011,3999996,,,
84,440503896,440431586,72310,,,4000011,3999997,,,
85,444504044,444431583,72461,,,4000148,3999997,,,
86,448503919,448431579,72340,,,3999875,3999996,,,
87,452503862,452431576,72286,,,3999943,3999997,,,
88,456503874,456431572,72302,,,4000012,3999996,,,
89,460503885,460431569,72316,,,4000011,3999997,,,
90,464504032,464431566,72466,,,4000147,3999997,,,
91,468503839,468431562,72277,,,3999807,3999996,,,
92,472503851,472431559,72292,,,4000012,3999997,,,
93,476503862,476431556,72306,,,4000011,3999997,,,
94,480503873,480431552,72321,,,4000011,3999996,,,
95,484503816,484431549,72267,,,3999943,3999997,,,
96,488503827,488431545,72282,,,4000011,3999996,,,
97,492503838,492431542,72296,,,4000011,3999997,,,
98,496503850,496431539,72311,,,4000012,3999997,,,
99,500503793,500431535,72258,,,3999943,3999996,,,
100,504503872,504431532,72340,,,4000079,3999997,,,
101,508503815,508431529,72286,,,3999943,3999997,,,
102,512503827,512431525,72302,,,4000012,3999996,,,
103,516503838,516431522,72316,,,4000011,3999997,,,
104,520503985,520431519,72466,,,4000147,3999997,,,
105,524503861,524431515,72346,,,3999876,3999996,,,
106,528503804,528431512,72292,,,3999943,3999997,,,
107,532503815,532431508,72307,,,4000011,3999996,,,
108,536503827,536431505,72322,,,4000012,3999997,,,
109,540503770,540431502,72268,,,3999943,3999997,,,
110,544503781,544431498,72283,,,4000011,3999996,,,
111,548503792,548431495,72297,,,4000011,3999997,,,
112,552503803,552431492,72311,,,4000011,3999997,,,
113,556503815,556431488,72327,,,4000012,3999996,,,
114,560503758,560431485,72273,,,3999943,3999997,,,
115,564503769,564431482,72287,,,4000011,3999997,,,
116,568503780,568431478,72302,,,4000011,3999996,,,
117,572503792,572431475,72317,,,4000012,3999997,,,
118,576503735,576431471,72264,,,3999943,3999996,,,
119,580503746,580431468,72278,,,4000011,3999997,,,
120,584503758,584431465,72293,,,,,,,
